,CPI,Core_CPI,Core_PCE,Retail_Sales,Industrial_Production,Nonfarm_Payrolls
1959-11-01,29.35,30.4,15.794,,22.2152,53634.0
1959-12-01,29.41,30.5,15.818,,23.5885,54174.0
1960-01-01,29.37,30.5,15.822,,24.2078,54274.0
1960-02-01,29.41,30.6,15.852,,23.9924,54513.0
1960-03-01,29.41,30.6,15.853,,23.777,54454.0
1960-04-01,29.54,30.6,15.882,,23.5885,54813.0
1960-05-01,29.57,30.6,15.908,,23.5616,54475.0
1960-06-01,29.61,30.7,15.917,,23.2654,54348.0
1960-07-01,29.55,30.6,15.945,,23.1846,54306.0
1960-08-01,29.61,30.6,15.968,,23.1577,54272.0
1960-09-01,29.61,30.6,15.981,,22.9153,54227.0
1960-10-01,29.75,30.8,15.99,,22.8884,54142.0
1960-11-01,29.78,30.8,16.033,,22.5653,53961.0
1960-12-01,29.81,30.7,16.028,,22.1344,53742.0
1961-01-01,29.84,30.8,16.032,,22.1613,53683.0
1961-02-01,29.84,30.8,16.048,,22.1344,53557.0
1961-03-01,29.84,30.9,16.053,,22.2691,53659.0
1961-04-01,29.81,30.9,16.075,,22.7268,53627.0
1961-05-01,29.84,30.9,16.096,,23.0769,53786.0
1961-06-01,29.84,31.0,16.12,,23.4,53977.0
1961-07-01,29.92,31.0,16.145,,23.6693,54123.0
1961-08-01,29.94,31.1,16.162,,23.8847,54298.0
1961-09-01,29.98,31.1,16.194,,23.8578,54388.0
1961-10-01,29.98,31.1,16.199,,24.3156,54522.0
1961-11-01,29.98,31.2,16.202,,24.6926,54742.0
1961-12-01,30.01,31.2,16.216,,24.908,54872.0
1962-01-01,30.04,31.2,16.235,,24.6925,54891.0
1962-02-01,30.11,31.2,16.262,,25.0964,55188.0
1962-03-01,30.17,31.3,16.3,,25.2311,55275.0
1962-04-01,30.21,31.3,16.303,,25.285,55602.0
1962-05-01,30.24,31.4,16.326,,25.258,55628.0
1962-06-01,30.21,31.4,16.356,,25.2042,55644.0
1962-07-01,30.22,31.4,16.37,,25.4465,55746.0
1962-08-01,30.28,31.5,16.372,,25.4734,55838.0
1962-09-01,30.42,31.5,16.404,,25.635,55978.0
1962-10-01,30.38,31.5,16.403,,25.6619,56041.0
1962-11-01,30.38,31.5,16.415,,25.7696,56056.0
1962-12-01,30.38,31.6,16.42,,25.7696,56028.0
1963-01-01,30.44,31.5,16.451,,25.9581,56115.0
1963-02-01,30.48,31.6,16.47,,26.2544,56230.0
1963-03-01,30.51,31.7,16.48,,26.4159,56320.0
1963-04-01,30.48,31.7,16.5,,26.6582,56580.0
1963-05-01,30.51,31.7,16.53,,26.9814,56616.0
1963-06-01,30.61,31.8,16.558,,27.0622,56659.0
1963-07-01,30.69,31.8,16.573,,26.9545,56794.0
1963-08-01,30.75,31.9,16.588,,27.0083,56910.0
1963-09-01,30.72,31.9,16.618,,27.2776,57078.0
1963-10-01,30.75,32.0,16.655,,27.4661,57283.0
1963-11-01,30.78,32.0,16.67,,27.6007,57255.0
1963-12-01,30.88,32.1,16.694,,27.5469,57361.0
1964-01-01,30.94,32.2,16.717,,27.7892,57487.0
1964-02-01,30.91,32.2,16.749,,27.9777,57753.0
1964-03-01,30.94,32.2,16.765,,27.9777,57897.0
1964-04-01,30.95,32.2,16.78,,28.4355,57922.0
1964-05-01,30.98,32.2,16.794,,28.597,58089.0
1964-06-01,31.01,32.3,16.806,,28.6778,58219.0
1964-07-01,31.02,32.3,16.823,,28.8663,58412.0
1964-08-01,31.05,32.3,16.845,,29.0548,58619.0
1964-09-01,31.08,32.3,16.852,,29.1625,58903.0
1964-10-01,31.12,32.4,16.859,,28.7586,58793.0
1964-11-01,31.21,32.5,16.883,,29.6472,59218.0
1964-12-01,31.25,32.5,16.907,,29.9973,59421.0
1965-01-01,31.28,32.6,16.93,,30.3204,59582.0
1965-02-01,31.28,32.6,16.95,,30.5089,59800.0
1965-03-01,31.31,32.6,16.96,,30.9128,60003.0
1965-04-01,31.38,32.7,16.98,,31.0474,60259.0
1965-05-01,31.48,32.7,17.011,,31.2898,60491.0
1965-06-01,31.61,32.7,17.007,,31.5321,60690.0
1965-07-01,31.58,32.7,17.024,,31.8283,60965.0
1965-08-01,31.55,32.7,17.056,,31.963,61228.0
1965-09-01,31.62,32.8,17.076,,32.0438,61490.0
1965-10-01,31.65,32.8,17.07,,32.3669,61719.0
1965-11-01,31.75,32.9,17.102,,32.5015,61996.0
1965-12-01,31.85,33.0,17.154,,32.9054,62322.0
1966-01-01,31.88,33.0,17.159,,33.2286,62529.0
1966-02-01,32.08,33.1,17.201,,33.444,62796.0
1966-03-01,32.18,33.1,17.223,,33.9018,63192.0
1966-04-01,32.28,33.3,17.285,,33.9556,63437.0
1966-05-01,32.35,33.4,17.331,,34.2787,63712.0
1966-06-01,32.38,33.5,17.387,,34.4403,64111.0
1966-07-01,32.45,33.6,17.438,,34.6288,64301.0
1966-08-01,32.65,33.7,17.47,,34.6557,64507.0
1966-09-01,32.75,33.8,17.524,,34.9789,64643.0
1966-10-01,32.85,34.0,17.581,,35.2212,64854.0
1966-11-01,32.88,34.0,17.625,,34.9788,65019.0
1966-12-01,32.92,34.1,17.679,,35.0596,65199.0
1967-01-01,32.9,34.2,17.695,,35.225,65407.0
1967-02-01,33.0,34.2,17.727,,34.8255,65429.0
1967-03-01,33.0,34.3,17.754,,34.6292,65530.0
1967-04-01,33.1,34.4,17.803,,34.9558,65466.0
1967-05-01,33.1,34.5,17.842,,34.6508,65620.0
1967-06-01,33.3,34.6,17.887,,34.6465,65750.0
1967-07-01,33.4,34.7,17.948,,34.5676,65888.0
1967-08-01,33.5,34.9,18.003,,35.2299,66143.0
1967-09-01,33.6,35.0,18.067,,35.1727,66164.0
1967-10-01,33.7,35.1,18.134,,35.4591,66225.0
1967-11-01,33.9,35.2,18.192,,35.9663,66703.0
1967-12-01,34.0,35.4,18.237,,36.3536,66900.0
1968-01-01,34.1,35.5,18.318,,36.3145,66804.0
1968-02-01,34.2,35.7,18.397,,36.4446,67215.0
1968-03-01,34.3,35.8,18.47,,36.5584,67295.0
1968-04-01,34.4,35.9,18.538,,36.6113,67556.0
1968-05-01,34.5,36.0,18.608,,37.022,67652.0
1968-06-01,34.7,36.2,18.681,,37.158,67905.0
1968-07-01,34.9,36.4,18.743,,37.101,68126.0
1968-08-01,35.0,36.5,18.816,,37.2045,68330.0
1968-09-01,35.1,36.7,18.892,,37.3454,68484.0
1968-10-01,35.3,36.9,18.969,,37.4196,68721.0
1968-11-01,35.4,37.1,19.041,,37.9036,68984.0
1968-12-01,35.6,37.2,19.098,,38.0233,69248.0
1969-01-01,35.7,37.3,19.17,,38.2533,69439.0
